Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:69DR48pXzSabFUfQfDDJDb,"Make Me Wanna","It Goes Like This","Thomas Rhett",2013-01-01,225066,78,false,bennettspeir,2020-11-05T22:17:13Z,"country,acoustic country,pop country","The Valory Music Co., LLC",0.545,0.818,9,-6.38,1,0.0541,0.0369,0,0.101,0.679,109.019,3
spotify:track:4q6touXnMJX6DsZnIF4UpS,"Crash and Burn","Tangled Up (Deluxe)","Thomas Rhett",2016-10-28,190733,40,false,bennettspeir,2020-11-05T22:16:20Z,"country,acoustic country,pop country","The Valory Music Co., LLC",0.69,0.784,5,-5.102,0,0.0308,0.0863,0.00000216,0.163,0.856,130.025,4
spotify:track:5kNe7PE09d6Kvw5pAsx23n,"Die A Happy Man","Tangled Up","Thomas Rhett",2015-01-01,227426,76,false,bennettspeir,2020-11-05T22:05:06Z,"country,acoustic country,pop country","The Valory Music Co., LLC",0.595,0.389,2,-9.245,1,0.0349,0.418,0.00000139,0.116,0.4,166.049,4
spotify:track:1zWZvrk13cL8Sl3VLeG57F,"T-Shirt","Tangled Up","Thomas Rhett",2015-01-01,227693,68,false,bennettspeir,2020-11-05T22:14:43Z,"country,acoustic country,pop country","The Valory Music Co., LLC",0.633,0.863,2,-5.337,1,0.0378,0.0288,0,0.0217,0.765,95.93,4
spotify:track:6guWjUuNYziyNXgjFo1IpF,"Houston, We Got a Problem","This One's for You Too (Deluxe Edition)","Luke Combs",2018-06-01,192253,70,false,bennettspeir,2019-10-16T01:47:16Z,"country","River House Artists/Columbia Nashville",0.521,0.762,9,-5.059,1,0.0362,0.0961,0.00000615,0.395,0.486,143.866,4
spotify:track:42fw0rxRO2xbesF6mJfd4Y,"Tequila","Dan + Shay","Dan + Shay",2018-06-22,196746,73,false,bennettspeir,2019-08-21T01:47:58Z,"country","Warner Records",0.489,0.581,11,-5.731,1,0.0281,0.0312,0,0.132,0.494,86.016,4
spotify:track:2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)","Dan + Shay;Justin Bieber",2019-10-04,167693,73,false,bennettspeir,2020-11-05T22:18:02Z,"country","Warner Records Nashville",0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,4
spotify:track:0uSGTaHms9ceAxb7L6VLrU,"All To Myself","All To Myself","Dan + Shay",2018-05-03,169612,50,false,bennettspeir,2020-11-05T22:02:49Z,"country","Warner Records",0.651,0.782,1,-4.622,1,0.0303,0.23,0,0.139,0.619,94.94,4
spotify:track:3GJ4hzg4lrGwU51Y3VARbF,"Speechless","Dan + Shay","Dan + Shay",2018-06-22,213386,71,false,bennettspeir,2019-08-21T01:48:02Z,"country","Warner Records",0.616,0.438,1,-5.968,1,0.0298,0.356,0,0.24,0.386,135.929,4
spotify:track:0fCwTrRNfoNk962ati8n2K,"All Your'n","Country Squire","Tyler Childers",2019-08-02,218290,82,false,bennettspeir,2020-11-19T22:05:12Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.585,0.55,11,-7.342,1,0.0255,0.408,0.0000397,0.115,0.839,78.176,4
spotify:track:3UZ9aPaYlBBlAvpdh3kK0U,"Hurricane","This One's for You","Luke Combs",2015-11-27,223800,0,false,bennettspeir,2020-11-05T22:01:23Z,"country","River House Artists",0.443,0.804,10,-6.432,1,0.0406,0.0165,0.00000289,0.181,0.438,151.928,4
spotify:track:03fT3OHB9KyMtGMt2zwqCT,"Play It Again","Crash My Party","Luke Bryan",2013-01-01,226866,80,false,bennettspeir,2019-08-21T01:48:15Z,"country,acoustic country","Capitol Records Nashville",0.506,0.886,11,-3.224,1,0.0655,0.0955,0,0.0734,0.595,143.938,4
spotify:track:6IBcOGPsniK3Pso1wHIhew,"Forever After All","What You See Ain't Always What You Get (Deluxe Edition)","Luke Combs",2020-10-23,232489,82,false,bennettspeir,2020-11-05T21:48:03Z,"country","River House Artists/Columbia Nashville",0.487,0.65,0,-5.195,1,0.0253,0.191,0,0.0933,0.456,151.964,4
spotify:track:5HGibWoxnkYSkl6mHmAlOE,"That's My Kind Of Night","Crash My Party","Luke Bryan",2013-01-01,190186,78,false,bennettspeir,2019-08-21T01:48:21Z,"country,acoustic country","Capitol Records Nashville",0.662,0.749,7,-2.891,1,0.048,0.0597,0,0.105,0.895,109.995,4
spotify:track:0cV4xwUA4ue2deqq4CZFko,"I Don't Want This Night To End","Tailgates & Tanlines","Luke Bryan",2011-08-09,219973,1,false,bennettspeir,2019-08-21T01:48:29Z,"country,acoustic country","Capitol Nashville",0.616,0.728,9,-4.02,0,0.0278,0.0275,0,0.228,0.375,111.934,4
spotify:track:5g15o2Sm55Hn9ShK5yEXgp,"Kick The Dust Up","Kill The Lights (Deluxe)","Luke Bryan",2015-08-07,190586,69,false,bennettspeir,2019-08-21T01:48:56Z,"country,acoustic country","Capitol Records Nashville",0.597,0.86,1,-2.315,1,0.0461,0.196,0,0.087,0.818,172.064,4
spotify:track:5XFu5S1vBY7sNHlheCapOz,"Strip It Down","Kill The Lights (Deluxe)","Luke Bryan",2015-08-07,241613,67,false,bennettspeir,2019-08-21T01:49:01Z,"country,acoustic country","Capitol Records Nashville",0.631,0.875,9,-3.589,1,0.0447,0.382,0,0.0867,0.705,137.961,4
spotify:track:2rW5c4z0RdI8dTZb3NKipe,"Crash My Party","Crash My Party (Deluxe)","Luke Bryan",2014-08-12,234760,46,false,bennettspeir,2019-08-21T01:49:53Z,"country,acoustic country","Capitol Records Nashville",0.524,0.815,7,-4.009,1,0.0423,0.0285,0,0.22,0.415,144.025,4
spotify:track:4FcUA8s8XXabKQEFRA8vxy,"We Run This Town","Crash My Party (Deluxe)","Luke Bryan",2014-08-12,193693,34,false,bennettspeir,2019-08-21T01:50:06Z,"country,acoustic country","Capitol Records Nashville",0.434,0.794,4,-4.362,1,0.0388,0.181,0,0.173,0.629,172.014,4
spotify:track:3Qj2YJB1KmgXr5SutGokdb,"Drink A Beer","Crash My Party (Deluxe)","Luke Bryan",2014-08-12,202613,42,false,bennettspeir,2019-08-21T01:50:10Z,"country,acoustic country","Capitol Records Nashville",0.577,0.413,8,-7.684,1,0.034,0.824,0.0000425,0.187,0.279,77.954,4
spotify:track:3kv6omImmKEfOVJWjstusF,"Drunk On You","Tailgates & Tanlines","Luke Bryan",2011-01-01,213546,74,false,bennettspeir,2019-08-21T01:50:25Z,"country,acoustic country","Capitol Nashville",0.558,0.873,9,-4.4,1,0.0449,0.172,0,0.173,0.475,143.967,4
spotify:track:4L9Ds4mpD3SuYoWwFUlv16,"Simple","Can't Say I Ain't Country","Florida Georgia Line",2019-02-15,185200,72,false,bennettspeir,2019-08-21T01:51:07Z,"country,pop country,acoustic country","BMLG Records",0.362,0.882,3,-3.717,1,0.0973,0.0791,0,0.15,0.864,199.811,4
spotify:track:4qQwGRtGT7l6ckQtdPEFd4,"Talk You Out Of It","Can't Say I Ain't Country","Florida Georgia Line",2019-02-15,202920,66,false,bennettspeir,2019-08-21T01:51:20Z,"country,pop country,acoustic country","BMLG Records",0.651,0.708,4,-4.791,1,0.0376,0.582,0,0.0796,0.558,119.964,4
spotify:track:2qYsSHsYkihWx043HVJQRV,"Dirt Road Anthem","My Kinda Party","Jason Aldean",2010-11-02,229400,4,false,bennettspeir,2019-08-21T01:53:24Z,"country,acoustic country","Broken Bow Records",0.68,0.741,2,-5.055,1,0.0357,0.347,0.00000187,0.117,0.635,127.024,4
spotify:track:1dyxS3YzBbL0t8rEVwVQ1K,"God's Country","God's Country","Blake Shelton",2019-03-29,205106,76,false,bennettspeir,2019-08-21T01:55:30Z,"country","Warner Records",0.538,0.752,10,-5.106,1,0.0396,0.0608,0.00000539,0.118,0.217,139.984,4
spotify:track:0H04yVa3DJxoXbLBpAb7iV,"I'm Comin' Over","I'm Comin' Over","Chris Young",2015-11-13,197280,70,false,bennettspeir,2019-10-16T01:35:00Z,"country,acoustic country","RCA Records Label Nashville",0.575,0.845,10,-3.838,1,0.035,0.0282,0,0.0814,0.376,127.997,4
spotify:track:7aEtlGHoiPAfRB084NiDmx,"Beer Never Broke My Heart","What You See Is What You Get","Luke Combs",2019-11-08,186360,81,false,bennettspeir,2020-11-05T21:52:15Z,"country","River House Artists/Columbia Nashville",0.538,0.863,1,-4.483,1,0.0481,0.0139,0,0.0874,0.637,77.001,4
